time_index,incidence,region,category,classification,mom_variation,nature
2023-12-01,0.1853,Patagonia,Análisis,Núcleo,26.4504,
2023-12-01,0.0356,Patagonia,Análisis,Regulados,22.3071,
2023-12-01,0.0842,Patagonia,División,Alimentos y bebidas,,Bienes
2023-12-01,0.0053,Patagonia,División,Bebidas alcohólicas y tabaco,,Bienes
2023-12-01,0.0073,Patagonia,División,Bienes y servicios varios,,Mixto
2023-12-01,0.003,Patagonia,División,Comunicación,,Servicios
2023-12-01,0.0004,Patagonia,División,Educación,,Servicios
2023-12-01,0.0204,Patagonia,División,Equipamiento del hogar,,Bienes
2023-12-01,0.0225,Patagonia,División,Prendas de vestir y calzado,,Bienes
2023-12-01,0.0178,Patagonia,División,Recreación y cultura,,Mixto
2023-12-01,0.011,Patagonia,División,Restaurantes y hoteles,,Servicios
2023-12-01,0.0173,Patagonia,División,Salud,,Servicios
2023-12-01,0.0455999999999999,Patagonia,División,Transporte,,Servicios
2023-12-01,0.0083,Patagonia,División,Vivienda y servicios básicos,,Servicios
2023-12-01,0.243,Patagonia,Nivel General,Total,24.3087,
2024-01-01,0.0179,Cuyo,Análisis,Estacionales,15.4191,
2024-01-01,0.1586999999999999,Cuyo,Análisis,Núcleo,21.7312,
2024-01-01,0.0463,Cuyo,Análisis,Regulados,30.1453,
2024-01-01,0.065,Cuyo,División,Alimentos y bebidas,,Bienes
2024-01-01,0.0054,Cuyo,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0136,Cuyo,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0043,Cuyo,División,Comunicación,,Servicios
2024-01-01,0.0,Cuyo,División,Educación,,Servicios
2024-01-01,0.0183,Cuyo,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0177,Cuyo,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0141,Cuyo,División,Recreación y cultura,,Mixto
2024-01-01,0.0156,Cuyo,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0178,Cuyo,División,Salud,,Servicios
2024-01-01,0.0408,Cuyo,División,Transporte,,Servicios
2024-01-01,0.0102,Cuyo,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.223,Cuyo,Nivel General,Total,22.2927,
2024-01-01,0.02,GBA,Análisis,Estacionales,16.5443,
2024-01-01,0.1382,GBA,Análisis,Núcleo,18.9995,
2024-01-01,0.0373,GBA,Análisis,Regulados,24.6053,
2024-01-01,0.0553,GBA,División,Alimentos y bebidas,,Bienes
2024-01-01,0.0051,GBA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0136,GBA,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0049,GBA,División,Comunicación,,Servicios
2024-01-01,0.0002,GBA,División,Educación,,Servicios
2024-01-01,0.0146,GBA,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0106,GBA,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0177,GBA,División,Recreación y cultura,,Mixto
2024-01-01,0.0227,GBA,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0196,GBA,División,Salud,,Servicios
2024-01-01,0.0252,GBA,División,Transporte,,Servicios
2024-01-01,0.006,GBA,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.196,GBA,Nivel General,Total,19.5518,
2024-01-01,0.0154,NEA,Análisis,Estacionales,12.3498,
2024-01-01,0.146,NEA,Análisis,Núcleo,19.7482,
2024-01-01,0.0336,NEA,Análisis,Regulados,24.7563,
2024-01-01,0.0747,NEA,División,Alimentos y bebidas,,Bienes
2024-01-01,0.0056999999999999,NEA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0123,NEA,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0049,NEA,División,Comunicación,,Servicios
2024-01-01,0.0002,NEA,División,Educación,,Servicios
2024-01-01,0.0161,NEA,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0111,NEA,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0118,NEA,División,Recreación y cultura,,Mixto
2024-01-01,0.0103,NEA,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0131,NEA,División,Salud,,Servicios
